code,name,lat,lng,neighbours,weather_station
LDM,Leerdam,51.894721984863,5.0913887023926,"['AKL', 'BSD']",348
LW,Leeuwarden,53.195835113525,5.7922220230103,"['DEI', 'GW', 'LWC', 'MG']",270
LWC,Leeuwarden Camminghaburen,53.2021808,5.8422968,"['HDG', 'LW']",270
LEDN,Leiden Centraal,52.166110992432,4.4816665649414,"['DVNK', 'LDL', 'SSH', 'VH']",210
LDL,Leiden Lammenschans,52.146945953369,4.4924998283386,"['APN', 'LEDN']",215
LLS,Lelystad Centrum,52.507778167725,5.4727778434753,"['ALMO', 'DRON']",249
LTV,Lichtenvoorde-Groenlo,52.01188,6.59641,"['RL', 'WWW']",290
LC,Lochem,52.166667938232,6.4263887405395,"['GO', 'ZP']",290
LP,Loppersum,53.3347145,6.7472625,"['APG', 'STM']",280
LTN,Lunteren,52.085277557373,5.6244444847107,"['BNZ', 'EDC']",275
MZ,Maarheeze,51.304986,5.629796,"['HZE', 'WT']",377
MRN,Maarn,52.064167022705,5.3699998855591,"['DB', 'KLP', 'VNDW']",265
MAS,Maarssen,52.135276794434,5.0336112976074,"['BKL', 'UTZL']",260
MT,Maastricht,50.850276947021,5.7055554389954,"['MTN', 'MTR']",380
MTN,Maastricht Noord,50.87087,5.71774,"['BDE', 'MES', 'MT']",380
MTR,Maastricht Randwyck,50.838611602783,5.7172222137451,"['EDN', 'MT']",380
MG,Mantgum,53.1296368,5.7131996,"['LW', 'SKND']",270
MRB,Mariënberg,52.50944519043,6.5752778053284,"['HDB', 'OMN', 'VHP']",290
MTH,Martenshoek,53.1607232,6.7402989,"['HGZ', 'KW']",280
MES,Meerssen,50.882879392551,5.7509994506836,"['MTN', 'SGL']",380
MP,Meppel,52.69083404541,6.1975002288818,"['HGV', 'SWK', 'ZL']",280
MDB,Middelburg,51.494720458984,3.6172223091126,"['ARN', 'VS']",310
MMLH,Mook-Molenhoek,51.766262,5.879133,"['CK', 'NMH']",375
NDB,Naarden-Bussum,52.280277252197,5.1569442749023,"['BSMZ', 'WP']",265
NA,Nieuw Amsterdam,52.718612670898,6.8486108779907,"['DLN', 'EMNZ']",280
NVP,Nieuw Vennep,52.258888244629,4.6455554962158,"['HFD', 'SSH']",240
NWK,Nieuwerkerk a/d IJssel,51.965278625488,4.6169443130493,"['CPS', 'GD']",344
NKK,Nijkerk,52.222221374512,5.4938888549805,"['AVAT', 'PT']",265
NM,Nijmegen,51.843612670898,5.8522224426269,"['NMGO', 'NMH', 'NML']",375
NMD,Nijmegen Dukenburg,51.824165344238,5.7955555915833,"['NMGO', 'WC']",375
NMGO,Nijmegen Goffert,51.8273,5.822722,"['NM', 'NMD']",375
NMH,Nijmegen Heyendaal,51.826946258545,5.8674998283386,"['MMLH', 'NM']",375
NML,Nijmegen Lent,51.863154,5.859625,"['EST', 'NM']",275
NVD,Nijverdal,52.366111,6.462,"['RAT', 'WDN']",290
NS,Nunspeet,52.370834350586,5.7852778434753,"['HD', 'HDE']",275
NH,Nuth,50.919445037842,5.8927779197693,"['HB', 'SN']",380
OBD,Obdam,52.67805480957,4.9072222709656,"['HN', 'HWD']",249
OT,Oisterwijk,51.582221984863,5.1941666603088,"['BTL', 'TB']",350
ODZ,Oldenzaal,52.30638885498,6.9347224235535,['HGLO'],290
OST,Olst,52.334720611572,6.1130557060242,"['DV', 'WH']",275
OMN,Ommen,52.50944519043,6.4158334732056,"['DL', 'MRB']",290
OTB,Oosterbeek,51.994998931885,5.8400001525879,"['AH', 'WF']",275
OP,Opheusden,51.9261615,5.6371145,"['HMN', 'KTR']",275
O,Oss,51.765556335449,5.5322222709656,"['OW', 'RVS']",375
OW,Oss West,51.758056640625,5.5055556297302,"['O', 'RS']",375
ODB,Oudenbosch,51.587776184082,4.5333333015442,"['RSD', 'ZVB']",331
OVN,Overveen,52.391109466553,4.6061110496521,"['HLM', 'ZVT']",240
PMR,Purmerend,52.50305557251,4.9536108970642,"['PMO', 'PMW']",249
PMO,Purmerend Overwhere,52.511390686035,4.9683332443237,"['HN', 'PMR']",249
PMW,Purmerend Weidevenne,52.496590632542,4.9356293678284,"['PMR', 'ZDK']",249
PT,Putten,52.264999389648,5.5752778053284,"['EML', 'NKK']",265
RAT,Raalte,52.391666412354,6.2775001525879,"['HNO', 'NVD']",290
RVS,Ravenstein,51.794166564941,5.6358332633972,"['O', 'WC']",375
RV,Reuver,51.28321916653,6.0789585113525,"['SM', 'TG']",392
RH,Rheden,52.0101,6.0314,"['DR', 'VP']",275
RHN,Rhenen,51.958610534668,5.5783333778381,['VNDC'],275
RSN,Rijssen,52.3122215271,6.5202779769897,"['HON', 'WDN']",290
RSW,Rijswijk,52.039722442627,4.3191666603088,"['DT', 'GVMW']",344
RB,Rilland-Bath,51.422779083252,4.1611108779907,"['BGN', 'KBD']",331
RM,Roermond,51.193054199219,5.9941668510437,"['EC', 'SM', 'WT']",377
RD,Roodeschool,53.421262,6.7587,"['EEM', 'UHM']",280
RSD,Roosendaal,51.540279388428,4.4583334922791,"['BGN', 'ETN', 'ODB']",331
RS,Rosmalen,51.714721679688,5.3680553436279,"['HTO', 'OW']",375
RTA,Rotterdam Alexander,51.951946258545,4.5536112785339,"['CPS', 'RTN']",344
RTB,Rotterdam Blaak,51.920276641846,4.4888887405395,"['RTD', 'RTZ']",344
RTD,Rotterdam Centraal,51.92499923706,4.468888759613,"['HFD', 'RTB', 'RTN', 'SDM']",344
RLB,Rotterdam Lombardijen,51.880001068115,4.531388759613,"['BRD', 'RTST']",344
RTN,Rotterdam Noord,51.942222595215,4.4816665649414,"['RTA', 'RTD']",344
RTST,Rotterdam Stadion,51.893890380859,4.5197219848633,"['RLB', 'RTZ']",344
RTZ,Rotterdam Zuid,51.904445648193,4.5102777481079,"['RTB', 'RTST']",344
