code,start,end,wind,wind_max,temperature,rain,rain_duration,fog,thunder,snow,ice
280,2023-01-01 09:00:00,2023-01-01 10:00:00,10.0,15.0,11.4,0.0,0.0,False,False,False,False
290,2023-01-01 09:00:00,2023-01-01 10:00:00,6.0,12.0,12.1,0.0,0.0,False,False,False,False
310,2023-01-01 09:00:00,2023-01-01 10:00:00,9.0,11.0,10.9,0.0,0.0,False,False,False,False
319,2023-01-01 09:00:00,2023-01-01 10:00:00,7.0,12.0,13.0,0.0,0.0,False,False,False,False
340,2023-01-01 09:00:00,2023-01-01 10:00:00,4.0,9.0,11.4,0.05,0.0,False,False,False,False
344,2023-01-01 09:00:00,2023-01-01 10:00:00,7.0,13.0,11.9,0.0,0.0,False,False,False,False
348,2023-01-01 09:00:00,2023-01-01 10:00:00,6.0,10.0,11.8,0.0,0.0,False,False,False,False
350,2023-01-01 09:00:00,2023-01-01 10:00:00,4.0,8.0,11.0,0.4,30.0,False,False,False,False
370,2023-01-01 09:00:00,2023-01-01 10:00:00,3.0,5.0,10.6,0.05,0.0,False,False,False,False
375,2023-01-01 09:00:00,2023-01-01 10:00:00,4.0,9.0,10.9,0.05,0.0,False,False,False,False
377,2023-01-01 09:00:00,2023-01-01 10:00:00,8.0,14.0,13.8,0.0,0.0,False,False,False,False
380,2023-01-01 09:00:00,2023-01-01 10:00:00,8.0,14.0,13.0,0.0,0.0,False,False,False,False
215,2023-01-01 10:00:00,2023-01-01 11:00:00,8.0,14.0,12.5,0.0,0.0,False,False,False,False
235,2023-01-01 10:00:00,2023-01-01 11:00:00,10.0,16.0,10.4,0.0,0.0,False,False,False,False
240,2023-01-01 10:00:00,2023-01-01 11:00:00,8.0,11.0,12.4,0.0,0.0,False,False,False,False
249,2023-01-01 10:00:00,2023-01-01 11:00:00,9.0,15.0,11.6,0.0,0.0,False,False,False,False
