code,name,lat,lng
STD,Sittard,51.001667022705,5.8586111068726
SDT,Sliedrecht,51.829723358154,4.7783331871033
SDTB,Sliedrecht Baanhoek,51.829722,4.743333
SK,Sneek,53.0328688,5.6523969
SKND,Sneek Noord,53.0409319,5.6631808
ST,Soest,52.173332214355,5.3099999427795
STZ,Soest Zuid,52.165279388428,5.3030557632446
SD,Soestdijk,52.183612823486,5.3000001907349
SBK,Spaubeek,50.94327,5.850529
STV,Stavoren,52.8865535,5.3600212
STM,Stedum,53.3262092,6.6875551
SWK,Steenwijk,52.791510992432,6.1145557632446
SRN,Susteren,51.061389923096,5.8630557060242
SM,Swalmen,51.23582,6.03228
TG,Tegelen,51.33894,6.14253
TBG,Terborg,51.9224549,6.3642466
TL,Tiel,51.889446258545,5.4222221374512
TPSW,Tiel Passewaaij,51.873889923096,5.39222240448
TB,Tilburg,51.560554504395,5.0836110115051
TBR,Tilburg Reeshof,51.573612213135,4.9944443702698
TBU,Tilburg Universiteit,51.564985,5.051778
TWL,Twello,52.237777709961,6.0986108779907
UTG,Uitgeest,52.521667480469,4.7016668319702
UHZ,Uithuizen,53.4099568,6.6748869
UHM,Uithuizermeeden,53.4145845,6.7202975
UST,Usquert,53.4014742,6.6093776
UT,Utrecht Centraal,52.088890075684,5.1102776527405
UTLR,Utrecht Leidsche Rijn,52.09896,5.06523
UTLN,Utrecht Lunetten,52.06555557251,5.144166469574
UTM,Utrecht Maliebaan,52.087776184082,5.1313886642456
UTO,Utrecht Overvecht,52.110000610352,5.1247220039368
UTT,Utrecht Terwijde,52.1000753,5.0439547
UTVR,Utrecht Vaartsche Rijn,52.078889,5.121667
UTZL,Utrecht Zuilen,52.103055,5.09
VK,Valkenburg,50.869720458984,5.8322219848633
VSV,Varsseveld,51.937257,6.458839
VDM,Veendam,53.10324,6.88475
VNDC,Veenendaal Centrum,52.020000457764,5.548611164093
VNDW,Veenendaal West,52.028057098389,5.531388759613
KLP,Veenendaal-De Klomp,52.045833587646,5.5738887786865
VP,Velp,51.994720458984,5.9802780151367
VL,Venlo,51.363609313965,6.1727776527405
VRY,Venray,51.526568099007,6.0141777992248
VLB,Vierlingsbeek,51.59193,5.99714
VTN,Vleuten,52.103056,5.007404
VS,Vlissingen,51.464721679688,3.5952777862549
VSS,Vlissingen Souburg,51.445835113525,3.5952777862549
VDL,Voerendaal,50.887222290039,5.9302778244019
VB,Voorburg,52.066665649414,4.3594446182251
VH,Voorhout,52.224445343018,4.4844446182251
VST,Voorschoten,52.1252784729,4.4324998855591
VEM,Voorst-Empe,52.157501220703,6.1436109542847
VD,Vorden,52.1071949,6.3170457
VZ,Vriezenveen,52.40203,6.60041
VHP,Vroomshoop,52.4571921,6.5696679
VG,Vught,51.655555725098,5.2919445037842
WAD,Waddinxveen,52.044166564941,4.6497220993042
WADN,Waddinxveen Noord,52.055000305176,4.6483335494995
WADT,Waddinxveen Triangel,52.02725,4.6491
WFM,Warffum,53.3908431,6.5671364
WT,Weert,51.248611450195,5.7036108970642
WP,Weesp,52.3127784729,5.0430555343628
WL,Wehl,51.9578065,6.213844
WTV,Westervoort,51.96286,5.9695
WZ,Wezep,52.454166412354,6.0025000572205
WDN,Wierden,52.361389160156,6.5916666984558
WC,Wijchen,51.811668395996,5.730833530426
WH,Wijhe,52.390277862549,6.1405553817749
WS,Winschoten,53.1392377,7.035101
WSM,Winsum,53.3300994,6.5202905
WW,Winterswijk,51.9677307,6.7155181
WWW,Winterswijk West,51.97453,6.70417
WD,Woerden,52.084999084473,4.8936109542847
WF,Wolfheze,52.005554199219,5.7936110496521
WV,Wolvega,52.880832672119,6.0036110877991
WK,Workum,52.9724864,5.4564285
WM,Wormerveer,52.489166259766,4.7922220230103
ZD,Zaandam,52.438888549805,4.8136110305786
ZDK,Zaandam Kogerveld,52.456665039062,4.8202776908875
ZZS,Zaandijk Zaanse Schans,52.469165802002,4.8049998283386
ZBM,Zaltbommel,51.80888748169,5.2633333206177
ZVT,Zandvoort aan Zee,52.3752784729,4.5327777862549
ZA,Zetten-Andelst,51.920056,5.7228408
ZV,Zevenaar,51.923053741455,6.0719442367554
ZVB,Zevenbergen,51.64042,4.60904
ZTM,Zoetermeer,52.047500610352,4.4772224426269
ZTMO,Zoetermeer Oost,52.046390533447,4.4927778244019
ZB,Zuidbroek,53.159612280006,6.8679141998291
ZH,Zuidhorn,53.2486292,6.4062361
ZP,Zutphen,52.145278930664,6.1941666603088
ZWD,Zwijndrecht,51.814998626709,4.6416668891907
ZL,Zwolle,52.504722595215,6.0919442176819
ZLSH,Zwolle Stadshagen,52.52764,6.05146
